Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
contact-lenses,2,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,1.0,2.0,0.0,33.333333333333336,66.66666666666667,0.0,0.14285714285714285,0.4444444444444444,0.6666666666666666,119.99999999999999,156.8929081105472,4.14017765804826,2148.0,-2143.8598223419517,1.3800592193494199,716.0,-714.6199407806506,-0.748461233004036,-0.249487077668012,-18.077997970668523,NaN,0.0,0.6666666666666666,2.0,0.3333333333333333,1.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.3333333333333333,0.0,1.0,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,0.0,0.0,2.7E-5,1.0E-5,0.027,0.01,1339.0,3176.0,1934.0,33.333333333333336,33.333333333333336,?,?,?,?
contact-lenses,2,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.39999999999999997,0.2222222222222222,0.4714045207910317,59.99999999999999,110.94003924504582,4.14017765804826,1074.0,-1069.8598223419517,1.3800592193494199,358.0,-356.61994078065055,1.29218075149331,0.4307269171644366,31.210756112878084,NaN,0.0,0.3333333333333333,1.0,0.6666666666666666,2.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.6666666666666666,0.0,1.0,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.8333333333333334,0.7777777777777778,NaN,0.6666666666666666,0.0,0.0,2.5E-5,8.999999999999999E-6,0.025,0.009,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,2,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,1.0,2.0,0.0,33.333333333333336,66.66666666666667,0.0,0.14285714285714285,0.4444444444444444,0.6666666666666666,119.99999999999999,156.8929081105472,4.14017765804826,2148.0,-2143.8598223419517,1.3800592193494199,716.0,-714.6199407806506,-0.748461233004036,-0.249487077668012,-18.077997970668523,NaN,0.0,0.6666666666666666,2.0,0.3333333333333333,1.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.3333333333333333,0.0,1.0,0.6666666666666666,NaN,0.3333333333333333,NaN,NaN,0.6666666666666666,0.6666666666666666,NaN,0.3333333333333333,0.0,0.0,2.5E-5,8.999999999999999E-6,0.025,0.009,1339.0,3176.0,1934.0,33.333333333333336,33.333333333333336,?,?,?,?
contact-lenses,2,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,21.0,3.0,2.0,1.0,0.0,66.66666666666667,33.333333333333336,0.0,0.39999999999999997,0.2222222222222222,0.4714045207910317,59.99999999999999,110.94003924504582,4.14017765804826,1074.0,-1069.8598223419517,1.3800592193494199,358.0,-356.61994078065055,1.29218075149331,0.4307269171644366,31.210756112878084,NaN,0.0,0.3333333333333333,1.0,0.6666666666666666,2.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.6666666666666666,0.0,1.0,0.3333333333333333,NaN,0.6666666666666666,NaN,NaN,0.8333333333333334,0.7777777777777778,NaN,0.6666666666666666,0.0,0.0,2.4E-5,8.0E-6,0.024,0.008,1339.0,3176.0,1934.0,66.66666666666667,33.333333333333336,?,?,?,?
contact-lenses,2,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0588936890535683,0.0,3.0588936890535683,1.5294468445267841,0.0,1.5294468445267841,3.0588936890535683,1.5294468445267841,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.4E-5,7.0E-6,0.024,0.007,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,2,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0588936890535683,0.0,3.0588936890535683,1.5294468445267841,0.0,1.5294468445267841,3.0588936890535683,1.5294468445267841,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.7E-5,8.0E-6,0.027,0.008,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,2,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,1.0,1.0,0.0,50.0,50.0,0.0,0.0,0.3333333333333333,0.5773502691896257,83.33333333333331,124.99999999999999,3.0588936890535683,1074.0,-1070.9411063109465,1.5294468445267841,537.0,-535.4705531554732,1.0,0.5,32.691557852388236,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0.0,0.0,2.7E-5,1.0E-5,0.027,0.01,1339.0,3245.0,1865.0,50.0,33.33333333333333,?,?,?,?
contact-lenses,2,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0588936890535683,0.0,3.0588936890535683,1.5294468445267841,0.0,1.5294468445267841,3.0588936890535683,1.5294468445267841,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0E-5,1.4E-5,0.04,0.014,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,2,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0588936890535683,0.0,3.0588936890535683,1.5294468445267841,0.0,1.5294468445267841,3.0588936890535683,1.5294468445267841,100.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.2999999999999995E-5,1.3E-5,0.043,0.013,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
contact-lenses,2,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,2.02503200152E7,22.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.673002535434241,0.0,1.673002535434241,0.8365012677171205,0.0,0.8365012677171205,1.673002535434241,0.8365012677171205,100.0,NaN,0.0,0.0,0.0,1.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,0.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,1.0,0.0,0.001,2.8E-5,8.0E-6,0.028,0.008,1339.0,3245.0,1865.0,100.0,33.33333333333333,?,?,?,?
